.................++++++++++++++...............+++++++++++++.+++++++++++++............+++++++++++++.. : Generation 70 -- Population: 150, Species: 12, Max Fitness: 1167.78647647 (8394),
...............+++++++++++...............++++++++++++++.+++++++++++++..............+++++++++++++.... : Generation 71 -- Population: 150, Species: 12, Max Fitness: 1167.78647647 (8394),
...............++++++++++++++...............+++++++++++++.+++++++++++++.............+++++++++++++... : Generation 72 -- Population: 150, Species: 12, Max Fitness: 1167.78647647 (8394),
.............+++++++++++++..............++++++++++++++.++++++++++++++.............++++++++++++++.... : Generation 73 -- Population: 149, Species: 12, Max Fitness: 1174.09355635 (14518),
..............+++++++++++++................+++++++++++++.+++++++++++++.............+++++++++++++.... : Generation 74 -- Population: 150, Species: 12, Max Fitness: 1174.09355635 (14518),
..............+++++++++++++++................+++++++++++++.+++++++++++++............++++++++++++.... : Generation 75 -- Population: 148, Species: 12, Max Fitness: 1174.09355635 (14518),
..............+++++++++++++++...............+++++++++++++.+++++++++++++.............+++++++++++++... : Generation 76 -- Population: 150, Species: 12, Max Fitness: 1174.09355635 (14518),
..............++++++++++++++...............+++++++++++++.+++++++++++++.............++++++++++++++... : Generation 77 -- Population: 150, Species: 12, Max Fitness: 1176.36364238 (15325),
...............++++++++++++.................+++++++++++++.+++++++++++++............++++++++++++..... : Generation 78 -- Population: 149, Species: 12, Max Fitness: 1176.36364238 (15325),
...............++++++++++++++................++++++++++++.++++++++++++++............+++++++++++++... : Generation 79 -- Population: 150, Species: 12, Max Fitness: 1176.36364238 (15325),
...............+++++++++++++...............+++++++++++++.+++++++++++++...........++++++++++++....... : Generation 80 -- Population: 148, Species: 12, Max Fitness: 1176.36364238 (15325),
...............++++++++++++.................+++++++++++++.+++++++++++++.............+++++++++++++... : Generation 81 -- Population: 150, Species: 12, Max Fitness: 1176.36364238 (15325),
................++++++++++++++................+++++++++++++.++++++++++++..........++++++++++++++.... : Generation 82 -- Population: 147, Species: 12, Max Fitness: 1176.36364238 (15325),
................++++++++++++++...............++++++++++++.+++++++++++++.............+++++++++++++... : Generation 83 -- Population: 150, Species: 12, Max Fitness: 1176.36364238 (15325),
...............++++++++++++++..............++++++++++++++.+++++++++++++.............++++++++++++.... : Generation 84 -- Population: 150, Species: 13, Max Fitness: 1176.36364238 (15325),
..............++++++++++++...............++++++++++++.++++++++++++............+++++++++++++......... : Generation 85 -- Population: 150, Species: 13, Max Fitness: 1176.36364238 (15325),
